GPU,eBay Price,QTY Sold,Month
GeForce RTX 2060 Super,$298,153,June 2022
GeForce RTX 2060,$241,328,June 2022
GeForce GTX 1660 Ti,$200,193,June 2022
GeForce GTX 1660 Super,$201,506,June 2022
GeForce GTX 1660,$174,76,June 2022
GeForce GTX 1650 Super,$171,82,June 2022
GeForce GTX 1650,$155,316,June 2022
Radeon RX 5700 XT,$314,725,June 2022
Radeon RX 5700,$286,133,June 2022
Radeon RX 5600 XT,$215,74,June 2022
Radeon RX 5500 XT 8GB,$174,31,June 2022
Radeon RX 5500 XT 4GB,$156,22,June 2022
GeForce RTX 4090,"$1,490",346,June 2023
GeForce RTX 4080,"$1,040",168,June 2023
GeForce RTX 4070 Ti,$738,205,June 2023
GeForce RTX 4070,$591,120,June 2023
GeForce RTX 4060 Ti,$466,10,June 2023
GeForce RTX 4060,—,0,June 2023
GeForce RTX 3090 Ti,$952,121,June 2023
GeForce RTX 3090,$738,870,June 2023
GeForce RTX 3080 Ti,$617,505,June 2023
GeForce RTX 3080 12GB,$540,68,June 2023
GeForce RTX 3080,$432,1127,June 2023
GeForce RTX 3070 Ti,$374,566,June 2023
GeForce RTX 3070,$286,1659,June 2023
GeForce RTX 3060 Ti,$257,1067,June 2023
GeForce RTX 3060,$238,802,June 2023
GeForce RTX 3050,$190,98,June 2023
Radeon RX 7900 XTX,$875,40,June 2023
Radeon RX 7900 XT,$718,52,June 2023
Radeon RX 7600,$294,4,June 2023
Radeon RX 6950 XT,$588,77,June 2023
Radeon RX 6900 XT,$532,140,June 2023
Radeon RX 6800 XT,$433,252,June 2023
Radeon RX 6800,$360,172,June 2023
Radeon RX 6750 XT,$324,29,June 2023
Radeon RX 6700 XT,$270,517,June 2023
Radeon RX 6700 10GB,$214,3,June 2023
Radeon RX 6650 XT,$204,39,June 2023
Radeon RX 6600 XT,$177,306,June 2023
Radeon RX 6600,$150,286,June 2023
Radeon RX 6500 XT,$97,31,June 2023
Radeon RX 6400,$108,50,June 2023
Intel Arc A770 16GB,$329,21,June 2023
Intel Arc A770 8GB,$250,1,June 2023
Intel Arc A750,$202,18,June 2023
Intel Arc A380,$97,3,June 2023
GeForce RTX 2080 Ti,$370,222,June 2023
GeForce RTX 2080 Super,$233,183,June 2023
GeForce RTX 2080,$210,123,June 2023
GeForce RTX 2070 Super,$204,235,June 2023
GeForce RTX 2070,$173,135,June 2023
GeForce RTX 2060 Super,$177,108,June 2023
GeForce RTX 2060,$148,474,June 2023
GeForce GTX 1660 Ti,$115,163,June 2023
GeForce GTX 1660 Super,$107,688,June 2023
GeForce GTX 1660,$87,88,June 2023
GeForce GTX 1650 Super,$102,58,June 2023
GeForce GTX 1650,$99,204,June 2023
Radeon RX 5700 XT,$132,743,June 2023
Radeon RX 5700,$120,92,June 2023
Radeon RX 5600 XT,$102,89,June 2023
Radeon RX 5500 XT 8GB,$99,32,June 2023
Radeon RX 5500 XT 4GB,$60,11,June 2023
GeForce RTX 3090 Ti,"$2,724",11,March 2022
GeForce RTX 3090,"$2,111",983,March 2022
GeForce RTX 3080 Ti,"$1,531",687,March 2022
GeForce RTX 3080 12GB,"$1,378",69,March 2022
GeForce RTX 3080,"$1,283",1355,March 2022
GeForce RTX 3070 Ti,$880,1097,March 2022
GeForce RTX 3070,$858,1567,March 2022
GeForce RTX 3060 Ti,$754,1935,March 2022
GeForce RTX 3060 12GB,$580,1135,March 2022
GeForce RTX 3050,$416,221,March 2022
Radeon RX 6900 XT,"$1,256",173,March 2022
Radeon RX 6800 XT,$996,254,March 2022
Radeon RX 6800,$888,98,March 2022
Radeon RX 6700 XT,$643,570,March 2022
Radeon RX 6600 XT,$495,485,March 2022
Radeon RX 6600,$403,274,March 2022
Radeon RX 6500 XT,$237,69,March 2022
GeForce RTX 2080 Ti,$889,348,March 2022
GeForce RTX 2080 Super,$690,177,March 2022
GeForce RTX 2080,$625,173,March 2022
GeForce RTX 2070 Super,$563,359,March 2022
GeForce RTX 2070,$511,208,March 2022
GeForce RTX 2060 Super,$512,269,March 2022
GeForce RTX 2060,$380,429,March 2022
GeForce GTX 1660 Ti,$353,264,March 2022
GeForce GTX 1660 Super,$360,977,March 2022
GeForce GTX 1660,$303,191,March 2022
GeForce GTX 1650 Super,$240,203,March 2022
GeForce GTX 1650,$223,450,March 2022
Radeon RX 5700 XT,$602,964,March 2022
Radeon RX 5700,$564,146,March 2022
Radeon RX 5600 XT,$414,227,March 2022
Radeon RX 5500 XT 8GB,$292,77,March 2022
Radeon RX 5500 XT 4GB,$225,15,March 2022
GeForce RTX 4090,"$1,795",339,March 2023
GeForce RTX 4080,"$1,081",189,March 2023
GeForce RTX 4070 Ti,$851,110,March 2023
GeForce RTX 3090 Ti,"$1,051",167,March 2023
GeForce RTX 3090,$789,1123,March 2023
GeForce RTX 3080 Ti,$680,725,March 2023
GeForce RTX 3080 12GB,$661,83,March 2023
GeForce RTX 3080,$537,1354,March 2023
GeForce RTX 3070 Ti,$446,710,March 2023
GeForce RTX 3070,$360,2186,March 2023
GeForce RTX 3060 Ti,$323,1706,March 2023
GeForce RTX 3060,$292,779,March 2023
GeForce RTX 3050,$241,159,March 2023
Radeon RX 7900 XTX,"$1,045",39,March 2023
Radeon RX 7900 XT,$759,26,March 2023
Radeon RX 6950 XT,$654,59,March 2023
Radeon RX 6900 XT,$543,238,March 2023
Radeon RX 6800 XT,$469,300,March 2023
Radeon RX 6800,$390,183,March 2023
Radeon RX 6750 XT,$361,26,March 2023
Radeon RX 6700 XT,$300,622,March 2023
Radeon RX 6700 10GB,$308,4,March 2023
Radeon RX 6650 XT,$243,28,March 2023
Radeon RX 6600 XT,$212,430,March 2023
Radeon RX 6600,$179,365,March 2023
Radeon RX 6500 XT,$126,57,March 2023
Radeon RX 6400,$131,27,March 2023
Intel Arc A770 16GB,$326,11,March 2023
Intel Arc A770 8GB,$248,2,March 2023
Intel Arc A750,$211,20,March 2023
Intel Arc A380,$119,11,March 2023
GeForce RTX 2080 Ti,$385,319,March 2023
GeForce RTX 2080 Super,$288,207,March 2023
GeForce RTX 2080,$254,159,March 2023
GeForce RTX 2070 Super,$237,293,March 2023
GeForce RTX 2070,$211,180,March 2023
GeForce RTX 2060 Super,$205,168,March 2023
GeForce RTX 2060,$174,339,March 2023
GeForce GTX 1660 Ti,$134,357,March 2023
GeForce GTX 1660 Super,$130,743,March 2023
GeForce GTX 1660,$112,126,March 2023
GeForce GTX 1650 Super,$111,99,March 2023
GeForce GTX 1650,$118,270,March 2023
Radeon RX 5700 XT,$162,749,March 2023
Radeon RX 5700,$150,104,March 2023
Radeon RX 5600 XT,$125,202,March 2023
Radeon RX 5500 XT 8GB,$97,82,March 2023
Radeon RX 5500 XT 4GB,$90,22,March 2023
GeForce RTX 3090 Ti,"$1,829",44,May 2022
GeForce RTX 3090,"$1,438",754,May 2022
GeForce RTX 3080 Ti,"$1,134",617,May 2022
GeForce RTX 3080 12GB,$959,69,May 2022
GeForce RTX 3080,$899,1197,May 2022
GeForce RTX 3070 Ti,$710,850,May 2022
GeForce RTX 3070,$641,1364,May 2022
GeForce RTX 3060 Ti,$579,1558,May 2022
GeForce RTX 3060,$424,804,May 2022
GeForce RTX 3050,$315,139,May 2022
Radeon RX 6950 XT,"$1,600",2,May 2022
Radeon RX 6900 XT,$875,172,May 2022
Radeon RX 6800 XT,$767,265,May 2022
Radeon RX 6800,$655,154,May 2022
Radeon RX 6750 XT,$511,4,May 2022
Radeon RX 6700 XT,$477,389,May 2022
Radeon RX 6650 XT,$400,0,May 2022
Radeon RX 6600 XT,$350,375,May 2022
Radeon RX 6600,$290,174,May 2022
Radeon RX 6500 XT,$192,49,May 2022
Radeon RX 6400,$151,4,May 2022
GeForce RTX 2080 Ti,$686,349,May 2022
GeForce RTX 2080 Super,$498,178,May 2022
GeForce RTX 2080,$430,170,May 2022
GeForce RTX 2070 Super,$409,336,May 2022
GeForce RTX 2070,$365,216,May 2022
GeForce RTX 2060 Super,$370,163,May 2022
GeForce RTX 2060,$282,441,May 2022
GeForce GTX 1660 Ti,$252,206,May 2022
GeForce GTX 1660 Super,$249,530,May 2022
GeForce GTX 1660,$214,113,May 2022
GeForce GTX 1650 Super,$183,135,May 2022
GeForce GTX 1650,$175,349,May 2022
Radeon RX 5700 XT,$449,883,May 2022
Radeon RX 5700,$381,113,May 2022
Radeon RX 5600 XT,$294,189,May 2022
Radeon RX 5500 XT 8GB,$216,59,May 2022
Radeon RX 5500 XT 4GB,$160,29,May 2022
GeForce RTX 4090,"$1,581",277,May 2023
GeForce RTX 4080,"$1,054",133,May 2023
GeForce RTX 4070 Ti,$785,104,May 2023
GeForce RTX 4070,$611,106,May 2023
GeForce RTX 4060 Ti,$410,1,May 2023
GeForce RTX 3090 Ti,$951,122,May 2023
GeForce RTX 3090,$771,914,May 2023
GeForce RTX 3080 Ti,$631,500,May 2023
GeForce RTX 3080 12GB,$526,56,May 2023
GeForce RTX 3080,$458,1028,May 2023
GeForce RTX 3070 Ti,$394,414,May 2023
GeForce RTX 3070,$318,1540,May 2023
GeForce RTX 3060 Ti,$293,1013,May 2023
GeForce RTX 3060,$268,599,May 2023
GeForce RTX 3050,$206,122,May 2023
Radeon RX 7900 XTX,$890,50,May 2023
Radeon RX 7900 XT,$718,37,May 2023
Radeon RX 7600,—,0,May 2023
Radeon RX 6950 XT,$588,67,May 2023
Radeon RX 6900 XT,$512,124,May 2023
Radeon RX 6800 XT,$439,206,May 2023
Radeon RX 6800,$377,151,May 2023
Radeon RX 6750 XT,$352,25,May 2023
Radeon RX 6700 XT,$278,596,May 2023
Radeon RX 6700 10GB,$231,8,May 2023
Radeon RX 6650 XT,$226,39,May 2023
Radeon RX 6600 XT,$192,308,May 2023
Radeon RX 6600,$157,323,May 2023
Radeon RX 6500 XT,$110,34,May 2023
Radeon RX 6400,$111,48,May 2023
Intel Arc A770 16GB,$315,36,May 2023
Intel Arc A770 8GB,-,0,May 2023
Intel Arc A750,$218,16,May 2023
Intel Arc A380,$122,3,May 2023
GeForce RTX 2080 Ti,$377,194,May 2023
GeForce RTX 2080 Super,$250,198,May 2023
GeForce RTX 2080,$218,207,May 2023
GeForce RTX 2070 Super,$210,276,May 2023
GeForce RTX 2070,$180,121,May 2023
GeForce RTX 2060 Super,$190,111,May 2023
GeForce RTX 2060,$154,349,May 2023
GeForce GTX 1660 Ti,$129,183,May 2023
GeForce GTX 1660 Super,$114,590,May 2023
GeForce GTX 1660,$96,101,May 2023
GeForce GTX 1650 Super,$101,90,May 2023
GeForce GTX 1650,$109,214,May 2023
Radeon RX 5700 XT,$151,547,May 2023
Radeon RX 5700,$129,69,May 2023
Radeon RX 5600 XT,$118,107,May 2023
Radeon RX 5500 XT 8GB,$96,37,May 2023
Radeon RX 5500 XT 4GB,$101,27,May 2023
GeForce RTX 3090,"$2,936",1305,November 2021
GeForce RTX 3080 Ti,"$1,895",1483,November 2021
GeForce RTX 3080,"$1,720",1448,November 2021
GeForce RTX 3070 Ti,"$1,201",1258,November 2021
GeForce RTX 3070,"$1,193",2380,November 2021
GeForce RTX 3060 Ti,"$1,002",2166,November 2021
GeForce RTX 3060 12GB,$749,2159,November 2021
Radeon RX 6900 XT,"$1,599",206,November 2021
Radeon RX 6800 XT,"$1,384",283,November 2021
Radeon RX 6800,"$1,332",123,November 2021
Radeon RX 6700 XT,$945,661,November 2021
Radeon RX 6600 XT,$665,857,November 2021
Radeon RX 6600,$588,377,November 2021
GeForce RTX 2080 Ti,"$1,137",338,November 2021
GeForce RTX 2080 Super,$860,189,November 2021
GeForce RTX 2080,$775,174,November 2021
GeForce RTX 2070 Super,$701,222,November 2021
GeForce RTX 2070,$763,351,November 2021
GeForce RTX 2060 Super,$701,212,November 2021
GeForce RTX 2060,$571,503,November 2021
GeForce GTX 1660 Ti,$532,266,November 2021
GeForce GTX 1660 Super,$558,755,November 2021
GeForce GTX 1660,$457,317,November 2021
GeForce GTX 1650 Super,$333,340,November 2021
GeForce GTX 1650,$308,544,November 2021
Radeon RX 5700 XT,$963,962,November 2021
Radeon RX 5700,$872,123,November 2021
Radeon RX 5600 XT,$568,111,November 2021
Radeon RX 5500 XT 8GB,$466,64,November 2021
Radeon RX 5500 XT 4GB,$349,43,November 2021
GeForce RTX 4090,"$2,216",820,November 2022
GeForce RTX 4080,"$1,503",$175,November 2022
GeForce RTX 3090 Ti,"$1,218",227,November 2022
GeForce RTX 3090,$871,1672,November 2022
GeForce RTX 3080 Ti,$811,917,November 2022
GeForce RTX 3080 12GB,$758,165,November 2022
GeForce RTX 3080,$594,2137,November 2022
GeForce RTX 3070 Ti,$479,997,November 2022
GeForce RTX 3070,$390,2317,November 2022
GeForce RTX 3060 Ti,$325,2128,November 2022
GeForce RTX 3060,$290,984,November 2022
GeForce RTX 3050,$234,109,November 2022
Radeon RX 6950 XT,$830,19,November 2022
Radeon RX 6900 XT,$655,226,November 2022
Radeon RX 6800 XT,$512,336,November 2022
Radeon RX 6800,$416,227,November 2022
Radeon RX 6750 XT,$354,6,November 2022
Radeon RX 6700 XT,$310,791,November 2022
Radeon RX 6700 10GB,$330,0,November 2022
Radeon RX 6650 XT,$292,38,November 2022
Radeon RX 6600 XT,$217,598,November 2022
Radeon RX 6600,$179,400,November 2022
Radeon RX 6500 XT,$135,45,November 2022
Radeon RX 6400,$130,20,November 2022
Intel Arc A770 16GB,$437,30,November 2022
Intel Arc A770 8GB,—,0,November 2022
Intel Arc A750,$265,11,November 2022
Intel Arc A380,$131,4,November 2022
GeForce RTX 2080 Ti,$397,443,November 2022
GeForce RTX 2080 Super,$292,170,November 2022
GeForce RTX 2080,$266,182,November 2022
GeForce RTX 2070 Super,$250,351,November 2022
GeForce RTX 2070,$212,265,November 2022
GeForce RTX 2060 Super,$212,236,November 2022
GeForce RTX 2060,$181,389,November 2022
GeForce GTX 1660 Ti,$137,316,November 2022
GeForce GTX 1660 Super,$131,819,November 2022
GeForce GTX 1660,$117,135,November 2022
GeForce GTX 1650 Super,$115,108,November 2022
GeForce GTX 1650,$123,277,November 2022
Radeon RX 5700 XT,$167,793,November 2022
Radeon RX 5700,$151,87,November 2022
Radeon RX 5600 XT,$131,189,November 2022
Radeon RX 5500 XT 8GB,$123,40,November 2022
Radeon RX 5500 XT 4GB,$110,19,November 2022
GeForce RTX 4090,"$1,704",304,November 2023
GeForce RTX 4080,$989,182,November 2023
GeForce RTX 4070 Ti,$675,158,November 2023
GeForce RTX 4070,$536,129,November 2023
GeForce RTX 4060 Ti 16GB,$510,12,November 2023
GeForce RTX 4060 Ti,$350,59,November 2023
GeForce RTX 4060,$283,33,November 2023
GeForce RTX 3090 Ti,$853,106,November 2023
GeForce RTX 3090,$704,765,November 2023
GeForce RTX 3080 Ti,$581,373,November 2023
GeForce RTX 3080 12GB,$463,47,November 2023
GeForce RTX 3080,$401,849,November 2023
GeForce RTX 3070 Ti,$342,339,November 2023
GeForce RTX 3070,$279,956,November 2023
GeForce RTX 3060 Ti,$236,871,November 2023
GeForce RTX 3060,$218,560,November 2023
GeForce RTX 3050,$169,141,November 2023
Radeon RX 7900 XTX,$824,62,November 2023
Radeon RX 7900 XT,$670,49,November 2023
Radeon RX 7800 XT,$516,11,November 2023
Radeon RX 7700 XT,$375,1,November 2023
Radeon RX 7600,$227,10,November 2023
Radeon RX 6950 XT,$478,58,November 2023
Radeon RX 6900 XT,$449,94,November 2023
Radeon RX 6800 XT,$391,168,November 2023
Radeon RX 6800,$328,99,November 2023
Radeon RX 6750 XT,$288,32,November 2023
Radeon RX 6700 XT,$248,629,November 2023
Radeon RX 6700 10GB,$218,31,November 2023
Radeon RX 6650 XT,$193,45,November 2023
Radeon RX 6600 XT,$164,422,November 2023
Radeon RX 6600,$136,325,November 2023
Radeon RX 6500 XT,$86,43,November 2023
Radeon RX 6400,$120,61,November 2023
Intel Arc A770 16GB,$311,20,November 2023
Intel Arc A770 8GB,$180,2,November 2023
Intel Arc A750,$165,38,November 2023
Intel Arc A580,—,0,November 2023
Intel Arc A380,$93,8,November 2023
GeForce RTX 2080 Ti,$309,196,November 2023
GeForce RTX 2080 Super,$232,117,November 2023
GeForce RTX 2080,$201,104,November 2023
GeForce RTX 2070 Super,$183,184,November 2023
GeForce RTX 2070,$159,173,November 2023
GeForce RTX 2060 Super,$161,95,November 2023
GeForce RTX 2060,$130,239,November 2023
GeForce GTX 1660 Ti,$104,132,November 2023
GeForce GTX 1660 Super,$97,511,November 2023
GeForce GTX 1660,$81,88,November 2023
GeForce GTX 1650 Super,$89,67,November 2023
GeForce GTX 1650 GDDR6,$97,126,November 2023
GeForce GTX 1650,$85,50,November 2023
GeForce GTX 1630,$160,1,November 2023
Radeon RX 5700 XT,$116,639,November 2023
Radeon RX 5700,$111,67,November 2023
Radeon RX 5600 XT,$96,74,November 2023
Radeon RX 5500 XT 8GB,$87,27,November 2023
Radeon RX 5500 XT 4GB,$72,18,November 2023
GeForce RTX 3090,"$2,737",1463,October 2021
GeForce RTX 3080 Ti,"$1,829",1439,October 2021
GeForce RTX 3080,"$1,666",1872,October 2021
GeForce RTX 3070 Ti,"$1,124",1508,October 2021
GeForce RTX 3070,"$1,144",2411,October 2021
GeForce RTX 3060 Ti,$907,3782,October 2021
GeForce RTX 3060 12GB,$698,2446,October 2021
Radeon RX 6900 XT,"$1,512",302,October 2021
Radeon RX 6800 XT,"$1,314",285,October 2021
Radeon RX 6800,"$1,260",191,October 2021
Radeon RX 6700 XT,$859,906,October 2021
Radeon RX 6600 XT,$631,1026,October 2021
Radeon RX 6600,$559,106,October 2021
GeForce RTX 2080 Ti,"$1,097",338,October 2021
GeForce RTX 2080 Super,$811,212,October 2021
GeForce RTX 2080,$743,187,October 2021
GeForce RTX 2070 Super,$666,254,October 2021
GeForce RTX 2070,$727,364,October 2021
GeForce RTX 2060 Super,$667,260,October 2021
GeForce RTX 2060,$534,446,October 2021
GeForce GTX 1660 Ti,$498,316,October 2021
GeForce GTX 1660 Super,$519,768,October 2021
GeForce GTX 1660,$430,315,October 2021
GeForce GTX 1650 Super,$313,239,October 2021
GeForce GTX 1650,$308,559,October 2021
Radeon RX 5700 XT,$911,1207,October 2021
Radeon RX 5700,$818,131,October 2021
Radeon RX 5600 XT,$614,243,October 2021
Radeon RX 5500 XT 8GB,$415,106,October 2021
Radeon RX 5500 XT 4GB,$326,48,October 2021
GeForce RTX 4090,"$2,333",1139,October 2022
GeForce RTX 3090 Ti,"$1,105",269,October 2022
GeForce RTX 3090,$812,1789,October 2022
GeForce RTX 3080 Ti,$755,888,October 2022
GeForce RTX 3080 12GB,$663,163,October 2022
GeForce RTX 3080,$562,2038,October 2022
GeForce RTX 3070 Ti,$459,821,October 2022
GeForce RTX 3070,$376,2278,October 2022
GeForce RTX 3060 Ti,$320,1989,October 2022
GeForce RTX 3060,$286,1106,October 2022
GeForce RTX 3050,$241,103,October 2022
Radeon RX 6950 XT,$752,23,October 2022
Radeon RX 6900 XT,$623,261,October 2022
Radeon RX 6800 XT,$491,277,October 2022
Radeon RX 6800,$399,198,October 2022
Radeon RX 6750 XT,$430,2,October 2022
Radeon RX 6700 XT,$313,633,October 2022
Radeon RX 6700 10GB,$330,0,October 2022
Radeon RX 6650 XT,$299,17,October 2022
Radeon RX 6600 XT,$221,642,October 2022
Radeon RX 6600,$182,337,October 2022
Radeon RX 6500 XT,$141,52,October 2022
Radeon RX 6400,$138,23,October 2022
GeForce RTX 2080 Ti,$410,353,October 2022
GeForce RTX 2080 Super,$309,193,October 2022
GeForce RTX 2080,$277,210,October 2022
GeForce RTX 2070 Super,$262,331,October 2022
GeForce RTX 2070,$226,190,October 2022
GeForce RTX 2060 Super,$218,229,October 2022
GeForce RTX 2060,$184,329,October 2022
GeForce GTX 1660 Ti,$139,344,October 2022
GeForce GTX 1660 Super,$131,803,October 2022
GeForce GTX 1660,$120,133,October 2022
GeForce GTX 1650 Super,$120,115,October 2022
GeForce GTX 1650,$126,251,October 2022
Radeon RX 5700 XT,$177,741,October 2022
Radeon RX 5700,$157,68,October 2022
Radeon RX 5600 XT,$134,189,October 2022
Radeon RX 5500 XT 8GB,$121,85,October 2022
Radeon RX 5500 XT 4GB,$99,15,October 2022
GeForce RTX 3090 Ti,"$1,117",202,September 2022
GeForce RTX 3090,$834,1121,September 2022
GeForce RTX 3080 Ti,$754,682,September 2022
GeForce RTX 3080 12GB,$684,158,September 2022
GeForce RTX 3080,$585,1520,September 2022
GeForce RTX 3070 Ti,$493,629,September 2022
GeForce RTX 3070,$409,1856,September 2022
GeForce RTX 3060 Ti,$355,1611,September 2022
GeForce RTX 3060,$312,834,September 2022
GeForce RTX 3050,$260,78,September 2022
Radeon RX 6950 XT,$795,9,September 2022
Radeon RX 6900 XT,$645,236,September 2022
Radeon RX 6800 XT,$518,237,September 2022
Radeon RX 6800,$419,149,September 2022
Radeon RX 6750 XT,$430,11,September 2022
Radeon RX 6700 XT,$337,575,September 2022
Radeon RX 6700,,0,September 2022
Radeon RX 6650 XT,$300,19,September 2022
Radeon RX 6600 XT,$238,519,September 2022
Radeon RX 6600,$204,295,September 2022
Radeon RX 6500 XT,$140,56,September 2022
Radeon RX 6400,$137,22,September 2022
GeForce RTX 2080 Ti,$464,336,September 2022
GeForce RTX 2080 Super,$350,182,September 2022
GeForce RTX 2080,$293,190,September 2022
GeForce RTX 2070 Super,$291,357,September 2022
GeForce RTX 2070,$250,169,September 2022
GeForce RTX 2060 Super,$243,221,September 2022
GeForce RTX 2060,$209,442,September 2022
GeForce GTX 1660 Ti,$158,256,September 2022
GeForce GTX 1660 Super,$150,729,September 2022
GeForce GTX 1660,$146,156,September 2022
GeForce GTX 1650 Super,$129,140,September 2022
GeForce GTX 1650,$129,238,September 2022
Radeon RX 5700 XT,$206,766,September 2022
Radeon RX 5700,$194,79,September 2022
Radeon RX 5600 XT,$167,186,September 2022
Radeon RX 5500 XT 8GB,$133,43,September 2022
Radeon RX 5500 XT 4GB,$107,14,September 2022
GeForce RTX 4090,"$1,603",220,September 2023
GeForce RTX 4080,"$1,042",133,September 2023
GeForce RTX 4070 Ti,$781,238,September 2023
GeForce RTX 4070,$553,120,September 2023
GeForce RTX 4060 Ti 16GB,$511,7,September 2023
GeForce RTX 4060 Ti,$374,26,September 2023
GeForce RTX 4060,$313,27,September 2023
GeForce RTX 3090 Ti,$926,76,September 2023
GeForce RTX 3090,$730,577,September 2023
GeForce RTX 3080 Ti,$606,295,September 2023
GeForce RTX 3080 12GB,$502,53,September 2023
GeForce RTX 3080,$414,842,September 2023
GeForce RTX 3070 Ti,$356,370,September 2023
GeForce RTX 3070,$288,926,September 2023
GeForce RTX 3060 Ti,$244,1064,September 2023
GeForce RTX 3060,$220,590,September 2023
GeForce RTX 3050,$183,135,September 2023
Radeon RX 7900 XTX,$824,34,September 2023
Radeon RX 7900 XT,$657,20,September 2023
Radeon RX 7800 XT,$525,7,September 2023
Radeon RX 7700 XT,$480,2,September 2023
Radeon RX 7600,$232,7,September 2023
Radeon RX 6950 XT,$590,40,September 2023
Radeon RX 6900 XT,$526,90,September 2023
Radeon RX 6800 XT,$416,191,September 2023
Radeon RX 6800,$348,139,September 2023
Radeon RX 6750 XT,$309,36,September 2023
Radeon RX 6700 XT,$258,552,September 2023
Radeon RX 6700 10GB,$229,17,September 2023
Radeon RX 6650 XT,$191,29,September 2023
Radeon RX 6600 XT,$168,364,September 2023
Radeon RX 6600,$144,226,September 2023
Radeon RX 6500 XT,$89,37,September 2023
Radeon RX 6400,$121,62,September 2023
Intel Arc A770 16GB,$309,25,September 2023
Intel Arc A770 8GB,$208,3,September 2023
Intel Arc A750,$191,15,September 2023
Intel Arc A380,$115,8,September 2023
GeForce RTX 2080 Ti,$335,225,September 2023
GeForce RTX 2080 Super,$243,91,September 2023
GeForce RTX 2080,$211,109,September 2023
GeForce RTX 2070 Super,$191,152,September 2023
GeForce RTX 2070,$159,157,September 2023
GeForce RTX 2060 Super,$165,119,September 2023
GeForce RTX 2060,$131,243,September 2023
GeForce GTX 1660 Ti,$106,141,September 2023
GeForce GTX 1660 Super,$98,393,September 2023
GeForce GTX 1660,$86,82,September 2023
GeForce GTX 1650 Super,$84,64,September 2023
GeForce GTX 1650 GDDR6,$87,93,September 2023
GeForce GTX 1650,$94,74,September 2023
GeForce GTX 1630,$105,2,September 2023
Radeon RX 5700 XT,$115,796,September 2023
Radeon RX 5700,$115,83,September 2023
Radeon RX 5600 XT,$83,108,September 2023
Radeon RX 5500 XT 8GB,$94,18,September 2023
Radeon RX 5500 XT 4GB,$70,10,September 2023
